Roll,Pitch,Yaw
0.03,0.03,0.17
0.03,0.03,0.17
0.03,0.02,0.17
0.04,0.02,0.17
0.04,0.03,0.15
0.04,0.02,0.17
0.03,0.02,0.17
0.03,0.02,0.17
0.03,0.03,0.15
0.04,0.02,0.15
0.03,0.02,0.17
0.03,0.02,0.17
0.03,0.03,0.17
0.04,0.03,0.15
0.03,0.03,0.15
0.03,0.03,0.17
0.03,0.03,0.17
0.03,0.03,0.18
0.03,0.03,0.15
0.03,0.03,0.15
0.03,0.03,0.17
0.03,0.03,0.17
0.03,0.03,0.15
0.03,0.03,0.15
0.03,0.03,0.17
0.03,0.03,0.17
0.03,0.03,0.17
0.03,0.03,0.17
0.03,0.03,0.17
0.03,0.03,0.17
0.03,0.03,0.17
0.03,0.03,0.17
0.03,0.03,0.17
0.03,0.03,0.17
0.03,0.02,0.17
0.03,0.02,0.17
0.03,0.02,0.17
0.03,0.02,0.17
